inventory,name,set,setnumber,foil
1,"Ruinous Waterbending",(TLA),118,
1,"Epic Downfall",(TLA),96,
1,"Buzzard-Wasp Colony",(TLA),88,
1,"Ozai's Cruelty",(TLA),113,
1,"Fire Navy Trebuchet",(TLA),100,
1,"June, Bounty Hunter",(TLA),106,
2,"Azula Always Lies",(TLA),84,
2,"Fire Navy Trebuchet",(TLA),100,*F*
2,"Dai Li Indoctrination",(TLA),93,
2,"Merchant of Many Hats",(TLA),110,
2,"Foggy Swamp Hunters",(TLA),101,
2,"Swampsnare Trap",(TLA),120,
2,"Sold Out",(TLA),119,
3,"Callous Inspector",(TLA),89,
2,"Canyon Crawler",(TLA),90,
1,"Price of Freedom",(TLA),149,*F*
1,"Twin Blades",(TLA),157,*F*
1,"Bumi Bash",(TLA),125,*F*
1,"Yuyan Archers",(TLA),161,*F*
1,"The Last Agni Kai",(TLA),314,
1,"Firebending Lesson",(TLA),138,
1,"Mongoose Lizard",(TLA),148,
1,"Yuyan Archers",(TLA),161,
1,"Bumi Bash",(TLA),125,
1,"Rough Rhino Cavalry",(TLA),152,
1,"Combustion Man",(TLA),127,
1,"Fire Sages",(TLA),136,
1,"Solstice Revelations",(TLA),153,
1,"Jeong Jeong, the Deserter",(TLA),142,
1,"Jet's Brainwashing",(TLA),143,
1,"Tiger-Dillo",(TLA),155,
1,"Combustion Technique",(TLA),128,
1,"Mai, Jaded Edge",(TLA),147,
1,"The Last Agni Kai",(TLA),144,
1,"Zhao, the Moon Slayer",(TLA),162,
1,"Wartime Protestors",(TLA),160,
2,"How to Start a Riot",(TLA),140,
2,"Fire Nation Cadets",(TLA),134,
2,"Cunning Maneuver",(TLA),130,
2,"Treetop Freedom Fighters",(TLA),156,
2,"Fire Nation Raider",(TLA),135,
2,"Deserter's Disciple",(TLA),131,
2,"Boar-q-pine",(TLA),124,
2,"Fire Nation Attacks",(TLA),133,
2,"Ty Lee, Artful Acrobat",(TLA),158,
1,"Seismic Sense",(TLA),195,*F*
1,"Earth Rumble",(TLA),174,*F*
1,"Badgermole",(TLA),166,*F*
1,"Turtle-Duck",(TLA),200,*F*
1,"Ostrich-Horse",(TLA),188,
1,"Cycle of Renewal",(TLA),170,
1,"Pillar Launch",(TLA),189,
1,"Earthbending Lesson",(TLA),176,
1,"Walltop Sentries",(TLA),202,
1,"Seismic Sense",(TLA),195,
1,"Toph, the Blind Bandit",(TLA),198,
1,"Earth Kingdom General",(TLA),173,
1,"The Boulder, Ready to Rumble",(TLA),168,
1,"Unlucky Cabbage Merchant",(TLA),201,
1,"Rockalanche",(TLA),192,
1,"Earthen Ally",(TLA),177,
1,"Earthbender Ascension",(TLA),175,
2,"Rebellious Captives",(TLA),191,
3,"Raucous Audience",(TLA),190,
2,"Rocky Rebuke",(TLA),193,
2,"Origin of Metalbending",(TLA),187,
2,"Saber-Tooth Moose-Lion",(TLA),194,
2,"Foggy Swamp Vinebender",(TLA),180,
2,"Haru, Hidden Talent",(TLA),182,
2,"Turtle-Duck",(TLA),200,
1,"Pretending Poxbearers",(TLA),237,
1,"Earth Rumble Wrestlers",(TLA),218,
1,"Earth Kingdom Soldier",(TLA),216,
1,"Cat-Owl",(TLA),212,
1,"Pretending Poxbearers",(TLA),237,*F*
1,"Vindictive Warden",(TLA),249,
1,"Cruel Administrator",(TLA),213,
1,"Sokka, Lateral Strategist",(TLA),241,
1,"Air Nomad Legacy",(TLA),206,
1,"Bitter Work",(TLA),210,
1,"Long Feng, Grand Secretariat",(TLA),233,
1,"Dragonfly Swarm",(TLA),215,
1,"Aang, Swift Savior // Aang and La, Ocean's Fury",(TLA),204,
1,"Azula, Cunning Usurper",(TLA),208,
1,"Earth King's Lieutenant",(TLA),217,
2,"Sandbender Scavengers",(TLA),239,
2,"Platypus-Bear",(TLA),236,
2,"Wandering Musicians",(TLA),250,
2,"Messenger Hawk",(TLA),234,
2,"Abandon Attachments",(TLA),205,
2,"Suki, Kyoshi Warrior",(TLA),243,
2,"Jet, Freedom Fighter",(TLA),229,
2,"Guru Pathik",(TLA),223,
1,"Aang's Journey",(TLA),1,*F*
1,"Barrels of Blasting Jelly",(TLA),254,
1,"Zuko's Exile",(TLA),3,*F*
1,"Trusty Boomerang",(TLA),260,
2,"Energybending",(TLA),2,
1,"Fire Nation Warship",(TLA),256,*F*
1,"Meteor Sword",(TLA),258,
1,"Planetarium of Wan Shi Tong",(TLA),259,*F*
1,"Realm of Koh",(TLA),276,
1,"Boiling Rock Prison",(TLA),267,
1,"Rumble Arena",(TLA),277,
1,"Misty Palms Oasis",(TLA),273,
1,"Foggy Bottom Swamp",(TLA),269,
1,"North Pole Gates",(TLA),274,
1,"Meditation Pools",(TLA),272,
2,"Omashu City",(TLA),275,
2,"Bender's Waterskin",(TLA),255,
2,"Aang's Journey",(TLA),1,
2,"Kyoshi Battle Fan",(TLA),257,
1,"Plains",(TLA),282,*F*
1,"Island",(TLA),283,*F*
1,"Swamp",(TLA),284,*F*
1,"Mountain",(TLA),285,*F*
1,"Forest",(TLA),286,*F*
1,"Plains",(TLA),287,*F*
1,"Island",(TLA),288,*F*
1,"Swamp",(TLA),289,
1,"Mountain",(TLA),290,*F*
1,"Forest",(TLA),291,*F*
1,"Mountain",(TLA),295,*F*
1,"Plains",(TLA),292,
1,"Aang, at the Crossroads",(TLA),203,
1,"Hakoda, Selfless Commander",(TLA),23,
1,"Iroh, Grand Lotus",(TLA),227,
1,"The Legend of Yangchen",(TLA),27,
1,"Toph, Hardheaded Teacher",(TLA),246,
1,"Zuko, Conflicted",(TLA),253,

