inventory,name,set,setnumber,foil,image
1,Destined Confrontation,TLA,15,,https://cards.scryfall.io/large/front/d/4/d4605cf7-03bc-4a7f-b50a-49b83b09b54d.jpg?1764119971
1,Earth Kingdom Jailer,TLA,16,,https://cards.scryfall.io/large/front/9/2/9207362c-3605-4794-803f-ad1d0175fcca.jpg?1764119978
1,Earth Kingdom Protectors,TLA,17,*F*,https://cards.scryfall.io/large/front/d/2/d263472e-1d75-4cb9-8f7b-986fa22bc841.jpg?1764119985
1,Earth Kingdom Protectors,TLA,17,,https://cards.scryfall.io/large/front/d/2/d263472e-1d75-4cb9-8f7b-986fa22bc841.jpg?1764119985
2,Enter the Avatar State,TLA,18,,https://cards.scryfall.io/large/front/a/8/a8f3d2cb-d073-4df8-8769-49612628a377.jpg?1764119993
2,Fancy Footwork,TLA,19,,https://cards.scryfall.io/large/front/9/c/9c59f8c5-4063-4e5a-b684-fde175c4a981.jpg?1764120000
1,Gather the White Lotus,TLA,20,,https://cards.scryfall.io/large/front/9/6/96e2b3d0-f060-4f3c-9d12-a0444b202008.jpg?1764120007
1,Gather the White Lotus,TLA,20,,https://cards.scryfall.io/large/front/9/6/96e2b3d0-f060-4f3c-9d12-a0444b202008.jpg?1764120007
1,Gather the White Lotus,TLA,20,,https://cards.scryfall.io/large/front/9/6/96e2b3d0-f060-4f3c-9d12-a0444b202008.jpg?1764120007
3,Glider Kids,TLA,21,,https://cards.scryfall.io/large/front/0/6/0613afb5-4cee-4132-8adf-404767ed8d07.jpg?1764120015
1,Glider Staff,TLA,22,,https://cards.scryfall.io/large/front/7/5/7517f2eb-a24d-49f6-82bf-08de55d3789a.jpg?1764120022
1,,TLA,23,,
1,Jeong Jeong's Deserters,TLA,25,,
3,Kyoshi Warriors,TLA,26,,https://cards.scryfall.io/large/front/2/1/211045e1-85c7-4088-b830-a2afa0fe520b.jpg?1764120052
1,Master Piandao,TLA,28,,https://cards.scryfall.io/large/front/3/e/3e4a042c-f2a6-45e7-9444-acd1ca838b87.jpg?1764120075
1,"Momo, Friendly Flier",TLA,29,,https://cards.scryfall.io/large/front/c/4/c472ef84-a632-4ad7-853c-60588a7a4b12.jpg?1764120082
1,"Momo, Playful Pet",TLA,30,,https://cards.scryfall.io/large/front/9/3/9350bf4a-fa12-4867-b31f-1f1394d99571.jpg?1764120089
2,Path to Redemption,TLA,31,,https://cards.scryfall.io/large/front/f/9/f936d64a-0db4-49c1-8a57-6d99e012a555.jpg?1764120097
3,Rabaroo Troop,TLA,32,,https://cards.scryfall.io/large/front/6/2/62a983b4-ac73-4949-9317-05a75a8ce164.jpg?1764120104
1,Razor Rings,TLA,33,,https://cards.scryfall.io/large/front/b/0/b05cfee5-ee59-4df6-a5f6-d9ef0fa7f98a.jpg?1764120111
1,Sandbenders' Storm,TLA,34,*F*,https://cards.scryfall.io/large/front/b/3/b3bf4a25-4329-4318-870a-2b06aa620dc4.jpg?1764120118
1,South Pole Voyager,TLA,35,,https://cards.scryfall.io/large/front/4/b/4b5ad895-be8d-476b-91ca-22fad7a3cc58.jpg?1764120126
1,Southern Air Temple,TLA,36,,https://cards.scryfall.io/large/front/5/c/5c172f9b-2184-4736-9f90-74ce08596292.jpg?1764120133
2,"Suki, Courageous Rescuer",TLA,37,,https://cards.scryfall.io/large/front/3/3/33b97433-e16c-422e-a0ca-f6b1e98d8681.jpg?1764120140
1,Vengeful Villagers,TLA,40,,https://cards.scryfall.io/large/front/8/c/8cabb6ed-5c80-4dab-b96c-9d4d9fe72db7.jpg?1764120161
1,Water Tribe Rallier,TLA,42,*F*,https://cards.scryfall.io/large/front/4/e/4e744b6c-1c2f-451a-818a-5ee7785b5213.jpg?1764120175
1,Water Tribe Rallier,TLA,42,,https://cards.scryfall.io/large/front/4/e/4e744b6c-1c2f-451a-818a-5ee7785b5213.jpg?1764120175
1,Water Tribe Rallier,TLA,42,,https://cards.scryfall.io/large/front/4/e/4e744b6c-1c2f-451a-818a-5ee7785b5213.jpg?1764120175
1,Yip Yip!,TLA,43,,https://cards.scryfall.io/large/front/4/3/43f4b10e-165b-4100-82f3-728e1b0c78ed.jpg?1764120182
2,Accumulate Wisdom,TLA,44,,https://cards.scryfall.io/large/front/a/6/a6335319-6c92-40d4-ab2d-c06c79049c30.jpg?1764120188
1,Benevolent River Spirit,TLA,45,,https://cards.scryfall.io/large/front/7/f/7ffb79cd-d170-4047-89c8-6e85188f30da.jpg?1764120194
1,Boomerang Basics,TLA,46,,https://cards.scryfall.io/large/front/1/7/17ab958a-abc6-472e-ad6a-97c731d89c74.jpg?1764120201
1,Crashing Wave,TLA,47,,https://cards.scryfall.io/large/front/9/f/9fd02eb4-1ef5-4a14-89a8-b25e720e8016.jpg?1764120208
3,Ember Island Production,TLA,48,,https://cards.scryfall.io/large/front/0/f/0f79a7fc-36b1-4397-8e67-6638379d3a38.jpg?1764120215
1,First-Time Flyer,TLA,49,,
2,Flexible Waterbender,TLA,50,,https://cards.scryfall.io/large/front/1/4/1447ebce-7e48-4b21-a39c-740920538bdd.jpg?1764120230
1,Forecasting Fortune Teller,TLA,51,,https://cards.scryfall.io/large/front/0/2/023e7ad4-6af0-4f29-a716-27a313974227.jpg?1764120239
2,Geyser Leaper,TLA,52,,https://cards.scryfall.io/large/front/4/d/4d25428d-e5a5-43c4-8544-43120ed1c4d5.jpg?1764120249
1,Giant Koi,TLA,53,,
1,Gran-Gran,TLA,54,,https://cards.scryfall.io/large/front/f/a/fa434b41-e5f7-4989-865a-95db67b05cb1.jpg?1764120269
2,Honest Work,TLA,55,,https://cards.scryfall.io/large/front/5/7/57e0ccb0-22f0-4e4d-9a47-c4fec2c7f251.jpg?1764120279
3,Iguana Parrot,TLA,56,,https://cards.scryfall.io/large/front/7/f/7faa3e3d-c08a-4908-85ef-1370d3f90815.jpg?1764120289
1,Invasion Submersible,TLA,57,,https://cards.scryfall.io/large/front/a/f/af5299f5-1633-4c07-ade5-fd47e29ea4aa.jpg?1764120298
1,It'll Quench Ya!,TLA,58,,
1,"Katara, Bending Prodigy",TLA,59,,https://cards.scryfall.io/large/front/e/8/e8372167-383f-4302-a8ea-b6bf495c870c.jpg?1764120318
1,Knowledge Seeker,TLA,60,,https://cards.scryfall.io/large/front/8/5/8554e862-f78a-42f5-b876-076aac6c9504.jpg?1764120328
1,Lost Days,TLA,62,,https://cards.scryfall.io/large/front/d/b/db8e88e3-0931-403f-90e7-3c22c0b61dac.jpg?1764120357
1,Master Pakku,TLA,63,,https://cards.scryfall.io/large/front/9/1/91e30df5-63f7-4281-8d64-8d522d663652.jpg?1764120366
1,North Pole Patrol,TLA,65,,https://cards.scryfall.io/large/front/c/2/c2c0c138-5b61-4949-8431-4a6d458ead6a.jpg?1764120386
2,Octopus Form,TLA,66,,https://cards.scryfall.io/large/front/c/e/ce96a826-53a0-4029-bf34-46779d133b13.jpg?1764120396
2,Otter-Penguin,TLA,67,,https://cards.scryfall.io/large/front/4/8/480b6279-bb34-4b3f-a639-868b52af92b9.jpg?1764120406
2,Rowdy Snowballers,TLA,68,,https://cards.scryfall.io/large/front/1/7/17d71522-b133-4003-b787-0c742a2fd70e.jpg?1764120416
3,Serpent of the Pass,TLA,70,,https://cards.scryfall.io/large/front/8/7/87595843-15bc-48bb-8a81-3e6ad924ed44.jpg?1764120436
1,Sokka's Haiku,TLA,71,,https://cards.scryfall.io/large/front/0/0/004be4bc-ac3c-4026-8d36-f4687ab18c70.jpg?1764120446
1,The Spirit Oasis,TLA,72,,https://cards.scryfall.io/large/front/3/a/3a1b1329-531c-47ed-9802-c505501f8fd9.jpg?1764120455
1,"Teo, Spirited Glider",TLA,74,,https://cards.scryfall.io/large/front/6/6/66906ed4-baac-4be0-9359-34f453d1a04a.jpg?1764120477
1,"Ty Lee, Chi Blocker",TLA,76,,https://cards.scryfall.io/large/front/3/0/308cc687-9cb2-4e3a-98db-c5ba2a7da115.jpg?1764120501
2,Waterbending Lesson,TLA,80,,https://cards.scryfall.io/large/front/4/f/4f81e3b5-a0a9-4764-8c2d-b499ce1740b4.jpg?1764120543
1,Waterbending Scroll,TLA,81,,https://cards.scryfall.io/large/front/5/0/50d0be73-a2c8-44a0-9178-9949f342f6f9.jpg?1764120553
1,Watery Grasp,TLA,82,*F*,https://cards.scryfall.io/large/front/2/6/26bcff57-428e-4f30-a153-a778fbfc437d.jpg?1764120563
1,Watery Grasp,TLA,82,,https://cards.scryfall.io/large/front/2/6/26bcff57-428e-4f30-a153-a778fbfc437d.jpg?1764120563
1,"Yue, the Moon Spirit",TLA,83,,https://cards.scryfall.io/large/front/e/c/ecdac50f-c639-43fc-a03e-d488fac96ae2.jpg?1764120573
1,Azula Always Lies,TLA,84,,
1,"Azula, On the Hunt",TLA,85,,https://cards.scryfall.io/large/front/1/3/1335a145-248a-4f1e-8760-9a5d531e14e3.jpg?1764120589
1,Beetle-Headed Merchants,TLA,86,,https://cards.scryfall.io/large/front/c/2/c2eed79f-38c1-4aac-9525-d54cb114f17f.jpg?1764120595
1,Boiling Rock Rioter,TLA,87,,https://cards.scryfall.io/large/front/7/3/739653cc-35c8-4a66-95d8-3e80fa6114f0.jpg?1764120601
2,Buzzard-Wasp Colony,TLA,88,,https://cards.scryfall.io/large/front/4/2/42d83229-0555-4361-8964-4b525c825843.jpg?1764120607
2,Callous Inspector,TLA,89,,https://cards.scryfall.io/large/front/f/2/f22610e9-6b14-4914-bb67-bd6723bec9aa.jpg?1764120614
1,Canyon Crawler,TLA,90,,https://cards.scryfall.io/large/front/3/0/30a30bfb-f0f3-425b-b37d-20079ee27046.jpg?1764120621
1,Cat-Gator,TLA,91,,https://cards.scryfall.io/large/front/e/c/ec83a825-79e6-42a4-919c-3bc498ff4433.jpg?1764120629
1,Dai Li Indoctrination,TLA,93,,https://cards.scryfall.io/large/front/e/c/eca652b8-44f1-4bd9-b4bf-036eeead13aa.jpg?1764120643
1,Day of Black Sun,TLA,94,,https://cards.scryfall.io/large/front/d/0/d0e24797-3e45-4c2b-b4b0-1ef44d42eaee.jpg?1764120649
1,Deadly Precision,TLA,95,,https://cards.scryfall.io/large/front/4/6/4661daf6-d960-4278-8946-70948efaf99d.jpg?1764120656
1,Fatal Fissure,TLA,97,,https://cards.scryfall.io/large/front/3/3/3343933d-4425-4ede-8d92-876bd0c6df60.jpg?1764120669
2,Fire Nation Engineer,TLA,99,,https://cards.scryfall.io/large/front/5/d/5daba108-277d-46c8-ac35-7610f4786813.jpg?1764120684
1,Fire Navy Trebuchet,TLA,100,,https://cards.scryfall.io/large/front/e/5/e58372cc-9a89-47a4-a0db-df5435e26cd3.jpg?1764120692
3,Foggy Swamp Hunters,TLA,101,,https://cards.scryfall.io/large/front/3/f/3f6e5869-ca25-4b98-a844-8a498cb40aab.jpg?1764120698
2,Heartless Act,TLA,103,,https://cards.scryfall.io/large/front/b/5/b57c57a8-d72b-4c6c-a2db-a7ef61190f42.jpg?1764120715
2,"Joo Dee, One of Many",TLA,105,,https://cards.scryfall.io/large/front/7/a/7ae1439f-a0c4-42c2-a4f3-8851defa981e.jpg?1764120729
1,"June, Bounty Hunter",TLA,106,,https://cards.scryfall.io/large/front/1/4/148bbaab-bc7b-46ab-8e18-ade69d71d847.jpg?1764120735
1,"Koh, the Face Stealer",TLA,107,,https://cards.scryfall.io/large/front/2/8/28f6fa32-5058-4c29-9ba8-9d8f2057eb6d.jpg?1764120741
2,"Lo and Li, Twin Tutors",TLA,108,,https://cards.scryfall.io/large/front/c/b/cba9260d-ef07-4429-99f9-6004cc1fea0f.jpg?1764120747
1,"Mai, Scornful Striker",TLA,109,,https://cards.scryfall.io/large/front/7/4/74dd4c0e-27b8-4c47-b7a6-a281413cd6b4.jpg?1764120754
1,Merchant of Many Hats,TLA,110,,https://cards.scryfall.io/large/front/7/5/752ffa24-93b6-4b33-bf10-7222357ac472.jpg?1764120760
1,Northern Air Temple,TLA,111,,https://cards.scryfall.io/large/front/0/6/06b7675e-e665-49cb-a8d9-7092a654d464.jpg?1764120766
1,Ozai's Cruelty,TLA,113,,https://cards.scryfall.io/large/front/2/2/22cad680-d46a-4589-a633-b6ee9a78d61e.jpg?1764120778
1,Pirate Peddlers,TLA,115,,https://cards.scryfall.io/large/front/5/c/5c998994-6c3b-4f34-9b31-babba2b17266.jpg?1764120791
1,The Rise of Sozin // Fire Lord Sozin,TLA,117,,
2,Ruinous Waterbending,TLA,118,,https://cards.scryfall.io/large/front/5/3/53161747-c82b-41e8-90ea-7791ea262a85.jpg?1764120817
2,Sold Out,TLA,119,,https://cards.scryfall.io/large/front/1/a/1affba6d-2cca-4cdf-8690-1e23ffbe8462.jpg?1764120823
1,Swampsnare Trap,TLA,120,,https://cards.scryfall.io/large/front/6/3/6348b6bf-08a7-45f0-8b2d-2827ab89f21c.jpg?1764120830
1,Tundra Tank,TLA,121,,https://cards.scryfall.io/large/front/1/3/13c66fce-8f8e-4a98-8413-9f05aebf6e13.jpg?1764120836
1,Wolfbat,TLA,122,,https://cards.scryfall.io/large/front/2/a/2ae83b4e-e5a4-4c98-8d16-eef3c71b8ff2.jpg?1764120843
1,Zuko's Conviction,TLA,123,,https://cards.scryfall.io/large/front/a/d/ad8933d6-cdc7-4d60-a78e-b43ffecfb136.jpg?1764120849
2,Boar-q-pine,TLA,124,,https://cards.scryfall.io/large/front/0/8/087a445c-5f63-45d6-83e8-20d22650db20.jpg?1764120855
2,Bumi Bash,TLA,125,,https://cards.scryfall.io/large/front/e/8/e8895479-26cb-4ee8-98ca-6d46c43f0dbd.jpg?1764120862
2,Combustion Man,TLA,127,,https://cards.scryfall.io/large/front/8/6/86f7399d-6876-4e85-ba34-ff1f97dc144a.jpg?1764120875
1,Combustion Technique,TLA,128,,https://cards.scryfall.io/large/front/f/d/fdcca576-2ef2-44cc-9944-a92bd146444a.jpg?1764120881
1,Crescent Island Temple,TLA,129,,https://cards.scryfall.io/large/front/0/4/04c85150-269e-4158-a1b9-bd11bc6b7d79.jpg?1764120888
1,Cunning Maneuver,TLA,130,,https://cards.scryfall.io/large/front/0/f/0ff7c993-ba29-43b0-9639-7c4bc0292fa2.jpg?1764120894
1,Deserter's Disciple,TLA,131,,
1,Fated Firepower,TLA,132,,https://cards.scryfall.io/large/front/5/1/51352127-1f86-42e9-b4ca-2fd58b14e86b.jpg?1755040164
1,Fire Nation Attacks,TLA,133,,https://cards.scryfall.io/large/front/9/c/9cc10845-8989-46ca-a57a-fd728fca0729.jpg?1758285149
1,Fire Nation Cadets,TLA,134,,https://cards.scryfall.io/large/front/1/a/1a3a862c-9c9a-41cd-94d1-2d0cff22a6cd.jpg?1761853102
6,Fire Nation Raider,TLA,135,,https://cards.scryfall.io/large/front/e/d/ede1bbdb-c726-46e3-aaf1-b8cf2be2c341.jpg?1762259209
1,Fire Sages,TLA,136,*F*,https://cards.scryfall.io/large/front/7/1/71a9fa44-306f-417a-a9d9-991aff95025c.jpg?1755203784
1,Fire Sages,TLA,136,,https://cards.scryfall.io/large/front/7/1/71a9fa44-306f-417a-a9d9-991aff95025c.jpg?1755203784
2,Firebending Lesson,TLA,138,,https://cards.scryfall.io/large/front/f/a/fa940e68-010e-4b68-be8a-555d7068f7b4.jpg?1762561958
6,Firebending Student,TLA,139,,https://cards.scryfall.io/large/front/3/b/3b366f59-16fe-43cb-888d-1f93ef8fd332.jpg?1761664003
1,How to Start a Riot,TLA,140,,https://cards.scryfall.io/large/front/2/3/23b3bf1e-ea85-47f5-8473-4d16615f68d7.jpg?1755204618
1,Iroh's Demonstration,TLA,141,,https://cards.scryfall.io/large/front/1/8/18d15fed-1f8f-4407-a221-a47ce75001a8.jpg?1762259233
1,Jet's Brainwashing,TLA,143,,https://cards.scryfall.io/large/front/b/1/b17e8bdb-4b91-4a9d-bfe1-8a55f0bd040b.jpg?1761922750
1,The Last Agni Kai,TLA,144,,https://cards.scryfall.io/large/front/6/1/61eaebc6-7575-48ed-b212-ff8b0c7ae694.jpg?1761664050
1,The Legend of Roku // Avatar Roku,TLA,145,,
1,Lightning Strike,TLA,146,,https://cards.scryfall.io/large/front/5/7/5787b0e0-9469-4a6d-8b81-c992628e28c0.jpg?1755205241
2,Mongoose Lizard,TLA,148,,https://cards.scryfall.io/large/front/7/d/7d40b9cb-82ef-44c5-8d3c-c8bb4ce9891c.jpg?1755207917
1,Price of Freedom,TLA,149,,https://cards.scryfall.io/large/front/9/f/9fbe94e9-a71d-4a31-9210-c599abe08e3f.jpg?1761922930
1,Ran and Shaw,TLA,150,,https://cards.scryfall.io/large/front/6/4/6436e2d0-989f-47e3-90bc-9cde82a2ddb4.jpg?1762694945
1,Rough Rhino Cavalry,TLA,152,,https://cards.scryfall.io/large/front/a/8/a8bc29cf-f6f8-4bb8-b722-f016b58b6d2d.jpg?1755238072
2,Solstice Revelations,TLA,153,,https://cards.scryfall.io/large/front/f/2/f22ac19f-66fb-4d54-9f09-495a20a29577.jpg?1761664425
1,Tiger-Dillo,TLA,155,,https://cards.scryfall.io/large/front/0/6/067bd117-04e6-410e-89c4-6d431d627751.jpg?1762171214
1,Treetop Freedom Fighters,TLA,156,,
2,Twin Blades,TLA,157,,https://cards.scryfall.io/large/front/d/c/dc399ae0-36b5-4c92-9fe2-138caf8d7a86.jpg?1762185066
2,"Ty Lee, Artful Acrobat",TLA,158,,https://cards.scryfall.io/large/front/d/c/dcd9df24-272b-4aa1-b05f-6ee6b3d3dfe7.jpg?1761737780
1,War Balloon,TLA,159,,https://cards.scryfall.io/large/front/6/8/6829b20d-c2fa-41a6-89ca-f21c522d8866.jpg?1761674426
1,Wartime Protestors,TLA,160,,https://cards.scryfall.io/large/front/b/a/bac81940-d717-49ff-83b2-16a22bb2c988.jpg?1762551570
1,Yuyan Archers,TLA,161,,https://cards.scryfall.io/large/front/9/9/99244462-a996-4a5b-91fb-947045647d6d.jpg?1755210784
1,"Zhao, the Moon Slayer",TLA,162,,https://cards.scryfall.io/large/front/f/1/f1015bf5-de98-41f3-b6b1-ed95f7465944.jpg?1762643822
1,"Zuko, Exiled Prince",TLA,163,,https://cards.scryfall.io/large/front/6/a/6a73b372-9c0e-4a85-89d2-440163330687.jpg?1755210855
1,Allies at Last,TLA,164,,https://cards.scryfall.io/large/front/1/1/11a77897-2aba-4a9b-bbe6-1768ca9f12cb.jpg?1761665174
1,Badgermole,TLA,166,,https://cards.scryfall.io/large/front/a/a/aabbd420-b7fc-496f-9168-bad823d51d9e.jpg?1755177653
2,"The Boulder, Ready to Rumble",TLA,168,,https://cards.scryfall.io/large/front/e/c/ec27a466-5457-44c6-a842-1de7d3788d66.jpg?1762259357
1,"Bumi, King of Three Trials",TLA,169,,https://cards.scryfall.io/large/front/a/2/a268697b-22b0-4e1b-a5b6-d9be95025e57.jpg?1762203469
1,Diligent Zookeeper,TLA,171,,https://cards.scryfall.io/large/front/2/1/21f52564-9820-42dc-a08d-459d51afc397.jpg?1761737835
2,Earth Kingdom General,TLA,173,,https://cards.scryfall.io/large/front/8/6/8688fce5-74b1-41e1-a59a-05a3878a75cb.jpg?1762259365
1,Earth Rumble,TLA,174,,https://cards.scryfall.io/large/front/6/2/62730505-56f1-4043-a8b9-4fb7bc508b47.jpg?1755178455
2,Earthbending Lesson,TLA,176,,https://cards.scryfall.io/large/front/e/c/eccd63b3-3a3a-4661-9d6e-fb8152429bdb.jpg?1755040271
1,Earthen Ally,TLA,177,,https://cards.scryfall.io/large/front/d/7/d7a0f2d9-efa4-4a53-a24b-36694457bd1c.jpg?1762352947
1,"Flopsie, Bumi's Buddy",TLA,179,,https://cards.scryfall.io/large/front/0/8/082f4abc-c09f-42cf-977f-060875dfd411.jpg?1755203931
1,Foggy Swamp Vinebender,TLA,180,,
2,"Haru, Hidden Talent",TLA,182,,https://cards.scryfall.io/large/front/9/6/9657a0c0-2c26-4331-8e62-f032265a01af.jpg?1755204333
1,Invasion Tactics,TLA,183,,https://cards.scryfall.io/large/front/2/7/27c6330d-49f6-4707-b4d4-d1411fa422eb.jpg?1761665321
1,Kyoshi Island Plaza,TLA,184,,https://cards.scryfall.io/large/front/9/c/9c25ea98-9823-4487-bf6b-ee29ce5a4ed8.jpg?1762590565
1,Leaves from the Vine,TLA,185,,https://cards.scryfall.io/large/front/b/1/b18995c2-efe3-46ca-8204-e2dc0e42f6e3.jpg?1761665463
1,Origin of Metalbending,TLA,187,,https://cards.scryfall.io/large/front/2/5/25749f9a-260d-4bdc-bd28-429c12faa4a5.jpg?1761853549
2,Ostrich-Horse,TLA,188,,https://cards.scryfall.io/large/front/5/c/5ca3fd45-9301-44ef-afc0-4d7999d66d36.jpg?1755207942
1,Raucous Audience,TLA,190,,
2,Rebellious Captives,TLA,191,,https://cards.scryfall.io/large/front/e/6/e64a4a8b-323c-4c8b-92af-1a3295799e65.jpg?1755238017
1,Rockalanche,TLA,192,,https://cards.scryfall.io/large/front/5/2/52b213d3-6f68-43e6-91e9-435d8fe1f34c.jpg?1762343778
2,Rocky Rebuke,TLA,193,,https://cards.scryfall.io/large/front/5/2/52fd910f-6d42-41f5-a4be-f375aa254ea2.jpg?1755209619
1,Saber-Tooth Moose-Lion,TLA,194,,https://cards.scryfall.io/large/front/b/1/b15f302d-c451-4e79-a5af-75ee3ba4cadf.jpg?1755209852
2,Seismic Sense,TLA,195,,https://cards.scryfall.io/large/front/a/7/a7b93c2a-c478-4734-8aca-03f3e9c11b20.jpg?1761665549
1,Shared Roots,TLA,196,,https://cards.scryfall.io/large/front/e/7/e7847ba5-e85e-417f-96c0-aef2e6f83994.jpg?1762171318
1,Sparring Dummy,TLA,197,,https://cards.scryfall.io/large/front/5/2/520f5a03-ff5a-43ed-8f15-cf24596d60cd.jpg?1761674490
2,"Toph, the Blind Bandit",TLA,198,,https://cards.scryfall.io/large/front/f/f/ff68fa7b-8065-407b-a8b4-bfbb14f1c99c.jpg?1755210285
1,True Ancestry,TLA,199,,https://cards.scryfall.io/large/front/8/c/8c55b333-dc8b-4332-895b-eec5eb45543f.jpg?1761829699
2,Turtle-Duck,TLA,200,,https://cards.scryfall.io/large/front/a/e/aefcd734-3916-4c77-9d98-3ea2c2795658.jpg?1755210521
1,Unlucky Cabbage Merchant,TLA,201,,https://cards.scryfall.io/large/front/0/a/0a838009-b115-4497-b35d-682e41ead7db.jpg?1762786467
1,Walltop Sentries,TLA,202,,https://cards.scryfall.io/large/front/e/5/e55f1c63-58f6-4e2b-aaeb-f2d5faca47a2.jpg?1764122900
1,Abandon Attachments,TLA,205,*F*,https://cards.scryfall.io/large/front/7/4/74ca45a4-97ab-4255-9129-884e8b42b984.jpg?1755176484
1,Air Nomad Legacy,TLA,206,,https://cards.scryfall.io/large/front/1/0/10874416-fa4c-4aa3-b885-4351d011d208.jpg?1762428793
1,Beifong's Bounty Hunters,TLA,209,,https://cards.scryfall.io/large/front/4/f/4f88ec3a-44a7-4ae5-a68c-24294dabaeed.jpg?1762259589
2,Bitter Work,TLA,210,,https://cards.scryfall.io/large/front/3/e/3e8de6a9-9859-4ed2-8ece-ef80a7209be9.jpg?1762201080
1,"Bumi, Unleashed",TLA,211,,https://cards.scryfall.io/large/front/b/2/b20a5185-7e31-4fc9-be11-9423bfc389bf.jpg?1764121501
1,Cat-Owl,TLA,212,*F*,https://cards.scryfall.io/large/front/d/7/d7df3391-dbe5-4eb4-85c1-037c5f3ea971.jpg?1764121512
1,Cruel Administrator,TLA,213,,https://cards.scryfall.io/large/front/9/d/9d70707b-2e25-40b1-80a8-9a5492bca7e2.jpg?1764121522
1,Dai Li Agents,TLA,214,,https://cards.scryfall.io/large/front/9/d/9ddb8715-341b-400a-b6eb-f3f90518157c.jpg?1764121532
1,Dragonfly Swarm,TLA,215,,https://cards.scryfall.io/large/front/1/6/16be5cc4-b15a-4c5e-8a6e-05c87b519127.jpg?1764121542
1,Earth Kingdom Soldier,TLA,216,,https://cards.scryfall.io/large/front/2/d/2d543d35-945a-4ffa-beb7-7c5d4f894f79.jpg?1764121553
1,Earth King's Lieutenant,TLA,217,,https://cards.scryfall.io/large/front/4/5/4533d155-5c56-41a5-9d76-2d1414ac47c9.jpg?1764121563
2,Earth Rumble Wrestlers,TLA,218,,https://cards.scryfall.io/large/front/7/4/74fca0b8-12e1-405f-b999-160d65fe0ade.jpg?1764121573
1,Earth Village Ruffians,TLA,219,,https://cards.scryfall.io/large/front/5/6/56d4e0b7-232f-4953-84a3-e6f17781aa45.jpg?1764121583
1,Fire Lord Azula,TLA,220,*F*,https://cards.scryfall.io/large/front/b/c/bc6146bf-f0c6-4557-af6a-74c643d5fc01.jpg?1764121593
1,Fire Lord Azula,TLA,220,,https://cards.scryfall.io/large/front/b/c/bc6146bf-f0c6-4557-af6a-74c643d5fc01.jpg?1764121593
1,Foggy Swamp Spirit Keeper,TLA,222,,https://cards.scryfall.io/large/front/c/d/cd624be9-e960-4485-a8a9-2d5f2dd51777.jpg?1764121614
1,Guru Pathik,TLA,223,,
1,"Hama, the Bloodbender",TLA,224,,https://cards.scryfall.io/large/front/6/f/6fa1197d-7b19-4d86-81e2-5c87de87757b.jpg?1764121634
1,"Hei Bai, Spirit of Balance",TLA,225,,https://cards.scryfall.io/large/front/0/6/060d24e0-1567-41f1-ae8c-2d3b1834df3c.jpg?1764121643
1,Hermitic Herbalist,TLA,226,,https://cards.scryfall.io/large/front/5/d/5d0ee441-a057-41b5-abb8-dc86864ac248.jpg?1764121653
1,"Iroh, Grand Lotus",TLA,227,,https://cards.scryfall.io/large/front/8/7/879b73d3-4552-4fdc-baee-c4d097ae9a4f.jpg?1764121663
